date,docID,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-08-24,202439,-1,brazil,mon,site,time,country,economy,fiscal,follow,link,banned,rousseff,decision,dont,policy,economic,pmdb,party,grade,investment,government
2015-08-26,203844,-1,market,stock,fed,debt,policy,financial,relative,rate,fiscal,major,markets,time,metrics,investors,credit,economy,price,currently,equity,government
2015-08-27,158058,-1,quarter,pace,spending,gdp,upward,estimate,percentage,advanced,profits,advance,initial,revision,growth,annual,thats,quarters,economy,strongest,faster,inventory
2015-08-27,203683,-1,share,psec,million,fiscal,quarter,fourth,company,psecs,investment,reported,companys,net,nav,nii,projections,income,projection,portfolio,projected,appreciation
2015-08-27,203699,-1,global,fed,policy,markets,economic,fiscal,inflation,current,monetary,tightening,chinese,eurozone,budget,economy,groupthink,crisis,week,reserve,growth,parochial
2015-08-28,157872,-1,quarter,million,market,fiscal,business,prior,megapixel,china,markets,sales,compared,product,automotive,margin,call,thank,approximately,products,growth,continue
2015-08-28,202668,-1,saudi,oil,government,fri,spending,sat,peak,billion,debt,arabia,prices,war,reserves,market,military,site,fx,follow,link,time
2015-08-31,159252,-1,news,government,primary,deficit,budget,congress,percent,reuters,public,business,revenue,barbosa,raise,spending,brazil,credit,borrowing,rousseff,lawmakers,earlier
2015-08-31,202798,202439,budget,fiscal,gdp,site,government,primary,deficit,follow,mon,proposal,link,banned,brazil,growth,president,sources,surplus,print,tax,financial
2015-09-01,159290,-1,frsh,company,fiscal,franchise,frshs,million,premium,multiple,alpha,sss,growth,assetlight,seeking,stock,companys,pro,margin,franchisees,currently,increase
2015-09-01,159294,159290,fiscal,sbux,premium,million,stock,sp,alpha,seeking,past,multiple,business,company,reaching,pro,margin,strong,consensus,starbucks,basis,growth
2015-09-01,159303,159294,fiscal,vnce,stock,million,sp,alpha,vnces,seeking,past,multiple,business,trading,fcf,reaching,pro,margin,consensus,basis,discount,segment
2015-09-01,159577,159294,fiscal,sp,vsis,past,company,million,alpha,vsi,ratio,seeking,stock,multiple,revenue,vitamin,premium,reaching,pro,forward,consensus,contract
2015-09-01,159656,-1,spending,construction,percent,news,july,outlays,reuters,level,private,rose,business,quarter,nonresidential,sector,increased,economy,providing,largest,solid,minutes
2015-09-01,159906,-1,construction,spending,economy,growth,months,previous,overall,secondquarter,rate,economics,revised,third,quarter,bank,below,improving,news,suggesting,decades,worst
2015-09-01,159943,159656,spending,percent,construction,news,july,economy,level,sector,fell,data,business,reading,factory,reuters,month,manufacturing,index,dollar,government,private
2015-09-01,160077,157872,sales,fiscal,million,market,quarter,business,growth,firstfit,markets,europe,guidance,aftermarket,jim,decline,company,tod,look,share,expect,thats
2015-09-02,160369,157872,million,fiscal,quarter,company,lifevantage,distributors,revenue,compared,sales,growth,fourth,stock,call,product,direct,selling,business,plan,results,industry
2015-09-02,160382,-1,spending,healthcare,percent,age,mean,cost,alpha,personal,seeking,dividends,household,stocks,pro,health,dollar,consumption,investors,gdp,sector,product
2015-09-02,160610,160369,million,revenue,license,fiscal,quarter,customers,tier,data,term,thats,services,customer,business,nongaap,call,fourth,insurancesuite,total,expect,rd
2015-09-02,160695,159656,advertising,percent,news,spending,growth,media,digital,thai,economy,reuters,market,forecast,online,business,ad,video,world,consumers,thakol,overall
2015-09-02,161076,159294,fiscal,mmm,company,billion,past,balance,trading,sp,premium,alpha,margin,sheet,seeking,multiple,due,fcf,reaching,pro,strong,consensus
2015-09-02,161082,159303,flws,fiscal,discount,past,stock,trading,revenue,sp,alpha,margin,flwss,growth,seeking,multiple,company,fcf,million,relative,reaching,market
2015-09-02,161252,159252,news,rousseff,fiscal,brazils,reuters,levy,budget,finance,business,temporary,minutes,congress,delayed,weakened,primary,thomson,deficit,information,worlds,nasdaq
2015-09-03,161808,159656,spending,construction,level,july,pro,alpha,private,seeking,peak,rose,singlefamily,remained,below,nonresidential,residential,seen,thank,june,increased,reached
2015-09-03,161836,160369,business,growth,quarter,fiscal,ebitda,million,revenue,segment,fourth,adjusted,development,customers,product,performance,technologies,slide,constant,financial,okay,mix
2015-09-05,164203,-1,economy,consumer,china,spending,gdp,growth,consumption,chinese,services,entrepreneurs,able,percent,percentage,transition,chinas,consumers,alpha,government,time,means
2015-09-06,164486,164203,consumers,inflation,taxes,spending,wages,prices,tax,local,spend,gas,commodities,means,alpha,time,consumer,seeking,continue,impact,wage,governments
2015-09-07,164866,-1,infrastructure,spending,investment,pro,alpha,bridges,time,seeking,crumbling,economy,america,billion,thank,economies,dams,average,sitting,create,decades,shortly
2015-09-08,165507,203699,policy,fed,market,rates,growth,monetary,falling,markets,china,prices,question,expectations,commodity,yuan,real,capital,isnt,economy,mean,believes
2015-09-08,165509,161082,company,matrix,fiscal,project,service,growth,eps,epc,revenue,million,construction,doubledigit,acquisition,quarter,alpha,share,billion,seeking,track,expectations
2015-09-08,166219,161836,million,fiscal,quarter,revenues,ebitda,business,fourth,north,adjusted,oil,leasing,pricing,call,rate,time,approximately,gas,compared,customers,yes
2015-09-09,166621,159943,oil,news,percent,government,income,reuters,budget,finance,mexico,drop,spending,videgaray,output,cut,business,company,bank,economy,gdp,million
2015-09-09,166626,165507,news,debt,monetary,policy,kocherlakota,economy,fed,reuters,rates,risk,public,business,fiscal,minutes,federal,market,delayed,lower,instability,official
2015-09-09,167152,161252,news,reuters,spending,business,measure,minutes,bill,consideration,congress,delayed,house,government,boehner,decisions,thomson,information,finance,worlds,nasdaq,temporary
2015-09-09,167265,161836,fiscal,revenue,million,ebitda,growth,pass,mountain,season,adjusted,segment,currency,call,prior,basis,resorts,guidance,increased,results,estate,range
2015-09-09,167365,166621,rousseff,news,government,brazils,programs,business,economy,minister,taxes,levy,spending,percent,austerity,tax,social,cut,budget,finance,credit,billion
2015-09-10,167819,160369,million,quarter,fourth,fiscal,net,facility,coffee,call,income,customers,nongaap,financial,plan,relocation,corporate,torrance,phase,cost,compared,sales
2015-09-10,167896,202439,wed,brazil,sp,gdp,follow,fiscal,site,link,banned,dont,growth,real,economy,vs,brazilian,heres,cock,political,shit,policy
2015-09-10,167934,165509,giii,apparel,fiscal,revenue,quarter,company,million,guidance,eps,income,margin,glance,third,growth,business,net,passing,half,fullyear,companys
2015-09-10,167968,160610,fiscal,million,market,customers,lot,growth,quarter,security,traps,sales,revenue,platform,share,basis,customer,thats,call,business,technology,services
2015-09-10,167972,165509,million,quarter,fiscal,third,compared,project,approximately,development,cash,commercial,expected,revenue,limoneira,property,lewis,acres,period,agribusiness,share,earnings
2015-09-10,168887,167365,news,government,rousseff,austerity,president,congress,measures,thursday,brazil,cut,business,investors,economic,ability,governments,reuters,levy,spending,little,revenues
2015-09-11,168964,160369,million,quarter,revenue,cloud,fiscal,compared,fourth,egain,gross,business,total,call,financial,digital,customers,loss,results,subscription,basis,conference
2015-09-11,169169,164866,infrastructure,sp,global,index,dow,trademark,llc,pro,alpha,jones,seeking,dji,threeyear,fund,investment,companies,thank,hedged,energy,information
2015-09-11,169499,-1,spending,funding,congress,government,fiscal,lawmakers,extension,sequester,december,republicans,shortterm,tax,measures,highway,real,economics,republican,shutdown,planned,bank
2015-09-11,169707,168964,fiscal,quarter,third,million,nine,net,months,compared,call,sales,occ,period,gross,markets,profit,decreased,conference,results,sga,share
2015-09-11,169739,169707,million,quarter,fiscal,sales,fourth,increase,gross,profit,segment,human,products,health,basis,income,share,business,product,net,compared,okay
2015-09-12,170448,167896,site,link,follow,banned,increased,isis,zero,cftc,heres,semi,policies,policy,speculators,actions,hedge,offer,cookie,net,nokia,affirms
2015-09-12,170509,167365,gdp,tax,taxes,budget,federal,spending,pro,alpha,government,individual,seeking,deficit,income,relative,line,growth,billion,thank,past,increased
2015-09-14,171362,166621,news,surplus,government,billion,budget,canada,fiscal,reuters,earlier,percent,run,deficits,deficit,finance,business,economy,plan,april,measure,canadas
2015-09-14,171862,167152,news,billion,budget,reuters,measures,government,reais,business,subsidies,minutes,delayed,spending,cuts,thomson,information,cut,finance,revenue,credit,worlds
2015-09-14,171870,171862,news,budget,reuters,billion,business,revenue,sources,minutes,delayed,spending,cuts,reais,thomson,information,finance,worlds,nasdaq,alerts,television,bridging
2015-09-15,172129,167819,fiscal,million,customers,weve,cash,time,programs,commercial,quarter,customer,call,supply,agreement,financial,fourth,thank,existing,sales,thats,okay
2015-09-15,172163,-1,pqe,rate,government,target,reserve,ior,balances,boe,central,bank,spending,qe,banks,table,omfg,operations,debt,pvd,policy,inflationary
2015-09-15,172286,171362,percent,fiscal,growth,news,spending,economy,chinas,reuters,yuan,china,rose,economic,investment,august,local,trillion,yy,earlier,biggest,economists
2015-09-15,172451,-1,spending,app,budget,help,personal,track,accounts,financial,free,mint,set,finance,credit,create,save,apps,time,easy,complete,finances
2015-09-15,172460,159943,percent,news,sales,spending,production,factory,month,output,auto,retail,stores,data,july,economy,fed,reuters,market,manufacturing,drop,strong
2015-09-15,172803,171870,news,rousseff,reuters,business,brazils,minutes,delayed,spending,government,reduction,announce,ministries,thomson,information,cut,finance,worlds,nasdaq,alerts,television
2015-09-15,173092,171362,news,percent,reuters,bill,economy,fiscal,argentinas,budget,government,policies,primary,domestic,business,economic,minutes,delayed,compared,projected,markets,inflation
2015-09-15,173184,168964,quarter,fiscal,fourth,million,revenue,dover,compared,gross,margin,margins,acquisition,contract,call,waller,pipeline,continue,weve,services,terms,increase
2015-09-16,173170,167968,fiscal,million,fuel,business,school,revenue,growth,contracts,net,thats,literally,weve,cost,operating,increase,lot,results,bus,range,buses
2015-09-16,173388,157872,fiscal,quarter,million,growth,sales,fourth,approximately,basis,business,margin,tonys,mean,earnings,operating,unfi,bit,fuel,net,little,call
2015-09-16,174193,173388,quarter,fiscal,million,store,prior,fourth,sales,operating,increase,revenue,compared,expect,pricing,retail,earnings,cracker,call,information,initiatives,basis
2015-09-16,174321,167152,news,government,mcconnell,bill,senate,reuters,leader,planned,business,fund,funding,minutes,federal,delayed,funds,agency,majority,thomson,parenthood,washington
2015-09-17,174449,173388,quarter,fiscal,growth,nongaap,margin,million,operating,basis,currency,revenue,expect,business,compared,half,look,fourth,ultrasound,strong,thats,call
2015-09-17,175049,-1,debt,government,money,monetary,sovereign,currency,countries,sovereignty,safe,country,governments,value,own,currencies,investment,economic,monetarily,sector,issue,private
2015-09-18,176431,166621,investment,economic,news,government,corbyn,osborne,spending,boe,borrow,bank,reuters,money,labours,britains,britain,voters,times,finance,business,spend
2015-09-19,177065,203699,economic,germany,fiscal,fed,european,risk,qe,ecb,german,eurozone,growth,policy,fomc,global,rates,central,inflation,economies,data,monetary
2015-09-20,177425,166626,policy,monetary,economy,fiscal,yellen,inflation,fed,market,demand,result,rule,keynesian,cause,aggregate,money,offset,instrument,rates,shock,base
2015-09-20,177613,-1,news,infrastructure,reuters,billion,bank,foreign,business,economic,fund,invest,sovereign,central,governor,growth,mobilise,projects,told,rahman,economy,issuing
2015-09-21,178469,177613,fund,news,caisse,infrastructure,pension,mexican,percent,billion,ckd,im,mexico,reuters,manager,investment,energy,business,vehicle,world,minutes,invest
2015-09-22,179551,174321,news,spending,democrats,measure,reuters,bill,defense,vote,senate,republicans,business,fiscal,minutes,failed,delayed,funds,appropriations,tax,government,thomson
2015-09-22,179581,179551,news,reuters,spending,democrats,business,voting,minutes,bill,delayed,mutual,defense,vote,senate,thomson,republicans,information,finance,worlds,nasdaq,alerts
2015-09-23,180235,203844,policy,economy,monetary,tight,fiscal,actually,tax,rates,fed,dont,pretty,markets,government,private,wed,rate,deficit,orcam,below,effect
2015-09-23,180584,172803,news,brazils,reuters,budget,finance,business,key,levy,minutes,delayed,efforts,spending,growth,thomson,information,credit,worlds,nasdaq,minister,alerts
2015-09-24,181205,202668,shutdown,debt,spending,limit,effect,federal,government,wed,deadline,extension,site,week,funding,house,authority,senate,bn,follow,link,banned
2015-09-25,182356,167968,fiscal,million,quarter,revenue,business,billion,ems,customer,call,dms,growth,core,income,earnings,thank,segment,share,outlook,forbes,im
2015-09-25,182418,202439,thu,government,permission,americans,site,follow,link,threat,time,banned,people,immediate,half,freedoms,military,rights,cuz,free,dont,federal
2015-09-25,182670,173092,news,economy,market,consumption,government,business,ma,growth,reuters,chinese,alibaba,opportunity,drive,minutes,jack,delayed,spending,percent,investment,real
2015-09-25,183251,167152,news,house,pelosi,reuters,business,distraction,minutes,delayed,spending,government,resignation,sept,boehner,thomson,information,budget,finance,worlds,step,nasdaq
2015-09-25,183564,172803,news,reuters,business,minutes,delayed,spending,inflation,thomson,debt,brazil,information,finance,bank,worlds,nasdaq,alerts,television,natalia,digital,hay
2015-09-27,184108,170509,quarter,spending,basis,consumer,gdp,personal,strong,reading,brought,pro,alpha,rate,growth,thank,seeking,data,expenditures,product,businesses,inventories
2015-09-27,184215,184108,gdp,prices,oil,spending,low,jobs,consumer,energy,fomc,pro,alpha,coming,rates,rate,seeking,quarters,impact,economy,report,outlook
2015-09-28,184840,159656,percent,spending,news,consumer,economy,inflation,reuters,rate,rose,fed,month,august,increased,business,quarter,investors,grew,earlier,report,key
2015-09-28,184861,184840,percent,news,consumer,spending,data,fed,reuters,market,nasdaq,week,lower,york,shares,eminis,contracts,business,company,trading,dow,sp
2015-09-28,185176,167152,spending,news,bill,congress,planned,conservatives,funds,parenthood,reuters,week,funding,obama,house,government,boehner,stopgap,business,fiscal,military,measure
2015-09-28,185213,172803,news,rousseff,fiscal,reuters,brazils,business,economy,economic,structural,president,largest,difficulties,world,minutes,delayed,spending,agency,corruption,scandal,administration
2015-09-28,185222,172803,news,rousseff,reuters,business,fiscal,minutes,delayed,united,thomson,nations,information,finance,allies,worlds,nasdaq,investors,alerts,television,dilma,plan
2015-09-28,185566,167265,fiscal,season,pass,resorts,million,obviously,growth,strong,results,resort,market,perisher,seeing,city,business,sales,park,vail,utah,ski
2015-09-29,185527,160369,sales,quarter,fiscal,million,products,tax,loss,expense,net,future,compared,stock,investment,preferred,company,deferred,accounting,prettybrook,growth,assets
2015-09-29,185737,-1,fiscal,growth,latin,countries,prices,policy,chile,commodity,six,environment,policies,peru,america,crisis,financial,difficult,colombia,economic,larger,mexico
2015-09-29,185912,160382,government,business,projects,company,contract,infrastructure,companies,investors,lot,example,spending,jobs,people,cities,sector,money,pro,alpha,thats,seeking
2015-09-29,186112,171862,news,spending,billion,government,euros,capital,projects,reuters,tuesday,dublin,increase,cut,budget,average,business,plan,irish,economic,putting,minutes
2015-09-29,186175,177613,news,bank,fiscal,reuters,percent,central,reserves,kenyas,njoroge,position,rate,governor,billion,treasury,july,exchange,budget,business,international,minutes
2015-09-29,186256,169739,fiscal,million,sales,quarter,customers,expect,international,fourth,business,line,revenue,net,compared,additional,product,government,segment,call,believe,potential
2015-09-29,186352,167152,news,bill,congress,spending,house,limit,speaker,fiscal,reuters,wednesday,government,issues,boehner,senate,debt,business,minutes,delayed,oct,tuesday
2015-09-29,186391,186112,spending,news,capital,billion,euros,government,reuters,projects,increase,business,gradually,percent,dublin,growing,ireland,cut,budget,average,economy,plan
2015-09-29,186861,186352,news,spending,house,senate,washington,budget,fiscal,mcconnell,obama,government,boehner,leader,negotiations,reuters,week,congress,wednesday,white,majority,john
2015-09-30,186952,184840,percent,news,spending,consumer,economy,reuters,rate,inflation,fed,month,rose,investors,report,prices,august,increased,increase,business,quarter,grew
2015-09-30,187251,-1,fiscal,gdp,figure,policy,nber,cbo,scale,source,tax,cuts,bea,budget,economy,gray,log,blue,calculations,authors,share,potential
2015-09-30,187252,-1,trade,tpp,policy,vote,congress,balanced,public,fiscal,president,tpa,issues,negotiations,deals,democratic,political,deficits,time,real,agreement,july
2015-09-30,187584,171362,percent,news,fiscal,gdp,billion,deficit,reuters,surplus,bulgaria,rose,finance,business,bank,levs,minutes,delayed,expects,period,compared,august
2015-09-30,187913,185176,defense,news,spending,carter,obama,bill,billion,funds,budget,reuters,veto,war,national,policy,sought,pentagon,business,base,form,limits
2015-09-30,187973,186352,news,spending,billion,rousseff,reuters,congress,delayed,vetoes,reais,judiciary,business,voting,brazils,president,minutes,bill,agency,wednesday,government,delays
2015-10-01,188444,185222,news,oct,policy,reuters,japan,business,economic,week,minutes,delayed,monetary,japans,difficult,ease,thomson,yamamoto,boj,information,finance,static
2015-10-01,189007,183251,news,budget,deficit,structural,valdes,reuters,spending,government,finance,business,balance,goal,bachelet,minister,minutes,delayed,percent,achieving,journalists,administration
2015-10-01,189260,179551,news,spending,democrats,bill,republicans,military,funds,house,defense,reuters,measures,vote,policy,budget,business,ndaa,discretionary,minutes,delayed,obama
2015-10-01,189328,189260,news,spending,bill,house,defense,budget,reuters,democrats,policy,republicans,business,voted,minutes,delayed,obama,funds,authorization,billion,thomson,passed
2015-10-02,189579,186952,news,spending,percent,household,economy,reuters,august,increase,boj,bank,consumers,economists,market,forecasts,oct,government,sales,annual,consumer,ease
2015-10-02,189998,159290,bebe,fiscal,shares,companys,stock,company,million,sales,share,time,liquidity,losses,guidance,bebes,trading,founder,pro,alpha,dollar,look
2015-10-02,190155,187973,rousseff,news,fiscal,government,accounts,delays,reuters,impeachment,court,delayed,decree,ruling,ahead,tcu,rousseffs,public,business,lawmakers,brazils,strengthen
2015-10-02,190340,189260,news,obama,congress,spending,house,bill,budget,fiscal,reuters,funds,government,white,republicans,christmas,business,president,minutes,delayed,barack,agency
2015-10-05,191303,178469,news,infrastructure,osborne,funds,labour,billion,pounds,britain,government,policy,minister,pension,reuters,invest,manchester,finance,business,im,wage,british
2015-10-06,192801,-1,budget,defense,spending,dod,northrop,fy,request,presentation,below,funding,systems,contractor,source,northrops,program,programs,air,force,dods,procurement
2015-10-06,193313,185912,european,capital,infrastructure,cmu,funds,markets,companies,investment,insurers,pension,eu,bonds,insurance,market,pro,alpha,union,seeking,bank,investors
2015-10-06,193453,189260,news,spending,bill,defense,senate,budget,democrats,military,reuters,obama,funds,authorization,vote,national,mccain,republicans,business,ndaa,passage,minutes
2015-10-06,193504,187973,news,rousseffs,brazils,reuters,congress,raise,spending,accounts,government,vetoes,bills,billion,reais,business,attempt,rousseff,minutes,delayed,cabinet,wednesday
2015-10-07,194109,184108,data,construction,manufacturing,spending,growth,ism,below,annualized,investment,time,billion,activity,investors,pro,alpha,prices,residential,basis,housing,fixed
2015-10-07,194299,185222,news,reuters,spending,business,rousseff,minutes,congress,delayed,vetoes,thomson,uphold,information,finance,worlds,nasdaq,alerts,television,dilma,am,digital
2015-10-07,194577,194299,news,reuters,business,minutes,congress,delayed,spending,government,vetoes,thomson,information,finance,worlds,nasdaq,alerts,television,dilma,digital,bolster,lawmakers
2015-10-07,194999,173388,quarter,fiscal,thats,million,sales,little,aerospace,dont,story,actually,total,park,bit,compared,electronics,august,maybe,mean,talking,talk
2015-10-08,195268,-1,spending,gasoline,prices,gas,data,study,consumer,jp,morgan,consumers,real,savings,individuals,report,households,lower,pump,americans,dollar,chase
2015-10-08,195474,-1,policy,seeking,keynesian,economic,alpha,monetary,economics,qe,developed,produce,austrian,pro,government,policies,economies,bank,economy,produced,solution,apparently
2015-10-09,196246,160369,quarter,million,fiscal,sales,beauty,business,foreign,continue,results,impact,call,compared,currency,product,growth,revenue,expect,healthy,savings,inventory
2015-10-09,196455,164866,infrastructure,investors,percent,billion,clark,global,logistics,countries,seeking,regional,zone,spending,pro,alpha,freeport,investment,expected,attract,southeast,economic
2015-10-09,197135,194577,news,fiscal,reuters,shutdown,drama,business,default,fed,minutes,congress,delayed,york,government,journalists,thomson,confidence,debt,information,nomiyama,finance
2015-10-10,197603,185222,government,news,libya,unity,united,national,western,reuters,proposed,political,agreement,country,nations,business,allies,governments,international,minutes,statement,peace
2015-10-12,198678,171862,spending,ministry,government,billion,projects,saudi,finance,news,budget,reuters,money,oil,cuts,bodies,arabia,sources,project,delayed,percent,cancelled
2015-10-13,199653,184108,home,consumer,spending,depot,quarter,households,average,fiscal,worth,pro,alpha,liquidity,seeking,net,market,transaction,look,tickets,sales,thank
2015-10-13,200046,159252,government,reforms,news,economic,sector,demands,reuters,tunisia,political,social,tensions,public,reform,minister,lenders,lack,international,urgent,raise,percent
2015-10-13,200345,182670,trillion,news,sanders,reuters,breakingviews,spending,tax,business,revenue,cost,percent,government,bring,bernie,economy,taxes,free,minutes,indiviglio,market
2015-10-13,200354,189007,news,reuters,spending,tax,spain,budget,finance,business,minutes,offset,delayed,including,security,revenues,social,thomson,deficit,regions,increased,cancel
2015-10-13,200449,157872,fiscal,lightweight,quarter,products,sales,private,thank,business,dont,performance,earnings,oildri,china,label,product,market,lower,accounts,rate,benefit
2015-10-14,201059,200354,news,berlin,refugees,reuters,gabriel,spending,stimulus,package,business,economy,minutes,delayed,germanys,thomson,increased,role,information,taking,finance,billions
2015-10-14,201062,201059,percent,news,spending,growth,refugees,government,economy,reuters,rise,ministry,gabriel,expects,german,demand,consumer,domestic,business,main,berlin,largest
2015-10-14,201075,201062,percent,news,economy,growth,government,ministry,reuters,markets,german,forecast,business,largest,respectively,minutes,delayed,spending,thomson,china,emerging,increase
2015-10-14,201076,166621,news,spending,fiscal,economy,percent,reuters,lot,boost,mchale,council,tax,government,past,cut,finance,expansionary,business,irish,gdp,european
2015-10-14,201077,200345,tax,news,sales,revenue,food,debt,spending,percent,rates,yen,reuters,lower,government,aoki,japans,hike,trillion,public,business,economy
2015-10-14,201258,160077,walmart,news,fiscal,stores,business,percent,share,sales,earnings,company,grocery,reuters,market,dollar,markets,pickup,forecast,billion,chief,january
2015-10-14,201525,201258,walmart,percent,stores,news,fiscal,business,price,markets,share,sales,shares,foran,reuters,drop,earnings,growth,billion,chief,january,company
2015-10-14,201543,190340,news,pension,illinois,fiscal,payments,funds,delay,budget,reuters,munger,revenue,money,delayed,billion,cash,business,comptroller,bonds,largest,fund
2015-10-15,201678,173388,million,business,quarter,fiscal,fourth,chemicals,sales,adjusted,ebitda,growth,compared,due,electronic,call,prior,creosote,lubricants,lower,restructuring,earnings
2015-10-15,204840,186352,debt,treasury,congress,limit,budget,spending,payments,government,cut,federal,default,ceiling,money,pay,house,deficit,cash,spend,nov,run
2015-10-15,204847,167896,government,fiscal,economic,fitch,debt,outlook,negative,political,site,bbb,brazils,growth,brazil,follow,link,banned,policy,international,recession,risks
2015-10-15,204863,182418,government,thu,americans,believe,site,corruption,time,people,follow,link,banned,legal,dont,corrupt,system,control,power,financial,fear,citizenry
2015-10-15,205510,171362,billion,news,budget,deficit,fiscal,percent,treasury,reuters,domestic,business,month,federal,spending,surplus,government,financial,debt,borrowing,lowest,earlier
2015-10-16,205679,196246,sales,quarter,fiscal,million,fourth,currency,product,net,wd,business,margin,foreign,gross,results,exchange,call,rates,due,cost,growth
2015-10-16,205934,-1,gdp,crisis,fiscal,policy,permanent,effects,trend,evidence,paper,pro,alpha,growth,seeking,debt,using,world,summers,monetary,larry,look
