date,docID,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-10-18,207630,-1,financial,policy,fiscal,initiatives,money,rates,zero,monetary,stimulus,impact,economist,recovery,hedged,dictum,benefits,government,stability,opinion,federal,efforts
2015-10-19,207971,188444,news,policy,fiscal,reuters,euro,expansive,nowotny,business,bank,economic,zone,minutes,delayed,interview,ewald,thomson,information,finance,policymaker,worlds
2015-10-19,208585,194577,news,fiscal,reuters,business,minister,barbosa,paulo,minutes,delayed,target,government,thomson,information,budget,finance,worlds,nasdaq,planning,alerts,television
2015-10-19,208766,171862,news,fiscal,illinois,fitch,budget,reuters,delayed,rating,result,business,credit,level,minutes,bbbplus,impasse,thomson,information,finance,revenue,due
2015-10-19,208925,202798,mon,budget,fiscal,illinois,site,spending,billion,deficit,pension,follow,link,banned,current,chicago,enacted,debt,balance,economic,gap,america
2015-10-20,209085,160077,sales,fiscal,quarter,million,weve,continue,business,stores,company,initiatives,system,share,growth,rate,basis,positive,look,slide,question,talk
2015-10-20,209142,182670,government,news,energy,liberal,reuters,investment,markets,trudeau,conservative,uncertainty,business,economy,canada,plan,infrastructure,international,sector,minutes,stocks,market
2015-10-20,209839,197603,government,news,libya,unity,armed,national,reuters,tripoli,deal,un,rejected,elected,libyas,parliament,lawmakers,recognized,gnc,proposed,house,former
2015-10-20,210288,201076,spending,economy,gdp,economic,fiscal,billion,stimulus,counterfactual,study,form,discussed,infrastructure,resources,figure,tax,half,government,instead,slightly,financial
2015-10-21,210255,-1,etf,spending,performance,ad,tv,asset,rose,quarter,hub,networks,class,scripps,sni,nyse,yield,broadcast,flat,nysesni,dis,screener
2015-10-21,210465,-1,dividend,psecs,fiscal,distributions,psec,cumulative,nii,quarterly,test,net,companys,ratio,quarter,icti,balance,undistributed,reference,million,uti,fourth
2015-10-21,210824,167896,fiscal,impeachment,cunha,president,political,nato,war,site,rousseff,wed,follow,link,request,inflation,banned,future,accounts,house,time,govt
2015-10-21,210968,207971,commission,news,fiscal,european,eu,euro,governments,zone,board,reuters,national,budget,finance,business,international,minutes,delayed,proposed,budgets,body
2015-10-22,212284,204847,monetary,policy,growth,euro,inflation,economic,draghi,qe,site,thu,annual,demand,quarter,follow,link,governing,rates,rate,banned,risks
2015-10-22,213118,204847,fiscal,policy,bank,dominance,brazils,rates,inflation,brazil,central,economist,monetary,debt,economy,economic,level,percent,government,rate,time,debate
2015-10-23,213772,-1,fiscal,myths,government,money,campaign,mainstream,agenda,economic,memes,smith,book,truths,social,policy,deficit,media,debt,firestone,attacks,joe
2015-10-23,214266,167934,margin,fiscal,growth,revenue,margins,company,expansion,investments,following,online,operating,range,edus,economy,yy,lead,oriental,edu,education,eps
2015-10-24,214903,196246,quarter,rd,fiscal,product,contract,million,nve,sales,revenue,company,corporation,expense,eps,business,decrease,compared,half,management,technology,internallyfunded
2015-10-25,215407,189328,news,budget,federal,uae,spending,reuters,emirates,oil,prices,billion,business,international,minutes,delayed,agency,cabinet,slightly,arab,individual,thomson
2015-10-26,216101,185912,infrastructure,canada,investors,spending,billion,liberal,construction,party,transit,coming,government,price,flyer,canam,projects,election,montreal,million,inc,sector
2015-10-26,216282,171870,news,fiscal,reuters,spending,billion,deal,business,source,minutes,congress,delayed,thomson,rise,information,domestic,budget,finance,worlds,nasdaq,alerts
2015-10-26,216319,216282,news,spending,fiscal,reuters,deal,business,source,minutes,congress,delayed,according,billion,thomson,rise,information,domestic,budget,finance,worlds,nasdaq
2015-10-26,216772,205510,news,house,spending,debt,ceiling,reuters,meadows,mulvaney,late,ryan,federal,government,extension,leaders,current,business,mark,stop,borrowing,boehners
2015-10-27,217266,186952,percent,news,spending,business,month,august,quarter,reuters,capital,aircraft,reported,third,production,core,dollar,decline,companies,plans,fell,data
2015-10-27,217750,186352,budget,news,spending,debt,fiscal,congress,house,deal,limit,reuters,ryan,government,billion,added,told,cuts,white,boehner,fellow,additional
2015-10-27,217883,214266,growth,tal,expansion,margin,edu,fiscal,education,yy,tals,quarter,company,lower,valuation,asps,prefer,pe,acceleration,line,top,moment
2015-10-27,218040,217750,spending,news,budget,fiscal,deal,debt,congress,house,ryan,limit,billion,added,told,reuters,government,cuts,boehner,reporters,fellow,additional
2015-10-28,218192,200449,quarter,fiscal,prices,market,volumes,fourth,inventory,performance,operating,impact,average,business,ferrous,earnings,results,nonferrous,sales,lower,steel,significant
2015-10-28,218289,193504,news,bndes,government,billion,debt,fiscal,reais,rousseff,reuters,debts,sources,delayed,accounts,banks,deficit,treasury,finance,business,accounting,minutes
2015-10-28,219234,216282,news,billion,fiscal,budget,reuters,deal,business,pension,minutes,delayed,spending,health,agency,revenues,deficits,thomson,deficit,care,increase,cbo
2015-10-28,219281,198678,oil,budget,news,baghdad,billion,iraqs,spending,government,weapons,zebari,forces,reuters,percent,iraq,military,crude,pay,islamic,revenues,national
2015-10-28,219339,218289,news,fiscal,brazils,reuters,fitch,budget,government,rating,cut,business,minutes,record,burden,delayed,agency,accounts,growing,concern,billion,primary
2015-10-28,219483,217750,spending,government,growth,measure,federal,budget,gdp,economy,economic,congress,cuts,time,real,economics,nonsense,increase,comments,discretionary,news,governments
2015-10-29,219984,173388,quarter,growth,little,bit,fiscal,loan,portfolio,mortgage,expect,call,commercial,rate,weve,net,basis,thats,conference,earnings,maybe,comments
2015-10-29,220260,172286,quarter,growth,third,spending,economy,investment,rate,rose,grew,economic,federal,drop,annualized,strong,exports,firms,pace,slowdown,inventory,economists
2015-10-29,220811,213118,growth,policy,bank,economy,fiscal,percent,economic,reuters,rates,canada,inflation,quarter,infrastructure,canadas,outlook,forecasts,canadian,oil,half,result
2015-10-30,221182,174449,million,fiscal,revenue,product,business,digi,gross,etherios,margin,customers,performance,bluenica,operating,growth,products,compared,quarter,weve,provide,margins
2015-10-30,221386,196455,baidu,spending,billion,investors,percent,company,revenue,online,aggressive,baidus,shares,tieup,ctrip,search,pro,alpha,qunar,yuan,share,buyback
2015-10-30,221546,190340,news,budget,spending,bill,congress,republican,president,reuters,money,obama,government,senate,washington,savings,business,presidency,default,military,measure,minutes
2015-10-30,221601,216282,news,reuters,source,government,yen,budget,finance,business,fiscal,minutes,delayed,spending,plans,thomson,information,govt,japan,domestic,farmers,due
2015-10-30,221765,186952,percent,spending,news,rose,consumer,september,index,august,months,labor,month,personal,gain,rate,inflation,data,business,quarter,report,reuters
2015-10-30,221801,221546,news,budget,spending,congress,republican,bill,obama,president,reuters,money,house,government,senate,washington,savings,business,presidency,default,military,measure
2015-11-01,222151,213118,boj,spending,government,inflation,yen,percent,kuroda,bank,qe,rising,policy,debt,pressure,japans,central,japanese,due,economy,fiscal,gdp
2015-11-03,222658,198678,oil,saudi,news,growth,reuters,spending,percent,prices,governments,market,government,budget,arabia,fiscal,gulf,monetary,uae,business,economists,low
2015-11-03,222987,220811,policy,china,japan,news,bank,monetary,percent,growth,population,economic,chinas,rates,inflation,hole,plan,fiscal,peopleshaped,reuters,chinese,central
2015-11-04,223479,196246,million,quarter,fiscal,revenue,growth,operating,forma,pro,merger,cash,sales,call,endosheath,pc,customers,urgent,results,ago,period,team
2015-11-04,223750,-1,growth,market,solaredge,fiscal,company,following,solar,commercial,sector,cost,penetration,expansion,weakness,due,product,line,bottom,strong,share,months
2015-11-04,223823,212284,policy,markets,policies,policymakers,growth,site,follow,monetary,tue,link,banned,global,future,assets,world,singer,financial,wealth,failure,governments
2015-11-04,224107,-1,spending,month,money,youre,card,credit,life,review,time,doing,category,look,simple,charges,transaction,financial,statements,savings,bank,step
2015-11-04,224388,221182,million,fiscal,revenue,business,currency,quarter,market,blood,growth,constant,officer,chief,customers,disposables,software,teg,plasma,markets,guidance,executive
2015-11-04,224468,194299,news,reuters,billion,business,ep,minutes,delayed,spending,capital,thomson,ceo,information,finance,company,worlds,nasdaq,alerts,television,digital,briefdevon
2015-11-05,224930,209085,fiscal,quarter,expect,growth,qtl,billion,chinese,sales,continue,oems,business,agreements,products,device,approximately,guidance,progress,market,share,terms
2015-11-05,225226,201678,million,quarter,fiscal,business,market,fourth,oled,approximately,service,sales,compared,revenues,call,cash,lower,strong,revenue,panel,tv,period
2015-11-05,225277,196246,quarter,million,fiscal,growth,distributors,revenue,compared,lifevantage,business,plan,call,expect,results,convention,sales,japan,company,based,fourth,product
2015-11-06,226471,225226,million,quarter,fiscal,president,michael,sargent,officer,hartnett,chief,business,executive,rbc,chairman,period,compared,aerospace,sales,call,margins,net
2015-11-06,227430,208585,government,socialists,news,left,parliament,reuters,leftist,talks,business,minister,am,week,friday,prime,vote,election,ousted,deal,budget,portugal
2015-11-06,227501,-1,million,fiscal,project,earnings,production,access,pipeline,gas,prices,capital,development,slide,northern,seneca,call,yes,time,thats,okay,price
2015-11-06,227741,227430,government,left,socialists,news,parliament,communists,business,minister,am,form,reuters,week,leftist,bloc,prime,majority,election,budget,portugal,coalition
2015-11-07,228008,209085,million,fiscal,continue,safety,earnings,capital,rate,share,strategy,market,growth,thank,system,pipeline,atmos,maintenance,remain,plan,income,customers
2015-11-07,228150,224930,growth,quarter,business,broadridge,revenue,fiscal,sales,earnings,strategy,call,guidance,recurring,acquisition,adjusted,longterm,market,acquisitions,closed,continue,including
2015-11-07,228158,225226,fiscal,quarter,million,rguest,revenue,business,compared,lms,solution,subscription,growth,net,period,cash,infogenesis,solutions,adjusted,total,results,increase
2015-11-08,228479,221182,quarter,fiscal,margin,million,revenue,compared,dover,project,services,acquisition,margins,contract,call,business,backlog,gross,loss,question,companys,growth
2015-11-08,228480,225226,sales,fiscal,million,quarter,business,margins,product,lower,share,cash,industrial,medical,program,weve,line,restructuring,markets,aircraft,little,defense
2015-11-08,228804,215407,news,lagarde,fiscal,gcc,reuters,delayed,oil,countries,business,economic,international,gulf,low,minutes,prices,tax,learn,revenues,policies,thomson
2015-11-08,228929,228804,news,gcc,governments,spending,gulf,reuters,reforms,lagarde,oil,tax,countries,public,budget,finance,business,fiscal,urged,low,delayed,prices
2015-11-08,228971,225226,china,fiscal,million,business,sales,oil,joint,market,ntic,litigation,venture,compared,thats,naturtec,gas,north,america,significant,range,time
2015-11-09,229329,210465,psec,psecs,quarter,net,portfolio,million,fiscal,share,unrealized,projected,reported,companys,income,nav,investment,depreciation,company,clo,cp,investments
2015-11-10,230716,226471,quarter,fiscal,sales,earnings,officer,chairman,chief,energy,segment,million,gendron,compared,thomas,executive,president,line,call,aerospace,markets,growth
2015-11-10,231217,205679,fiscal,million,growth,projects,amerigas,weather,gas,businesses,ugi,business,capital,cost,significant,margin,strong,results,quarter,weve,lower,major
2015-11-10,231255,-1,eros,films,revenue,fiscal,company,movies,million,revenues,film,distributed,source,india,rights,office,box,indian,claims,companys,believe,released
2015-11-10,231522,224468,news,fiscal,eps,monsanto,savings,company,reuters,market,restructuring,expected,estimated,business,quarter,worlds,asreported,companys,earningspershare,million,charges,minutes
2015-11-10,231691,186256,quarter,million,fiscal,revenue,fourth,surmodics,device,products,product,share,actually,believe,call,thats,program,business,drug,customers,balloon,little
2015-11-10,231727,208585,news,morneau,finance,economic,reuters,government,update,minister,canada,pbo,budget,business,quebec,liberals,economy,fiscal,previous,report,minutes,federal
2015-11-11,231899,231691,quarter,fiscal,increased,ago,call,million,business,silver,demand,trading,customers,market,ounces,activity,statements,increase,products,logistics,precious,metals
2015-11-11,232335,186112,news,wage,minimum,government,increase,economic,abes,reuters,households,spending,policy,average,business,economy,minister,structural,lowincome,wages,minutes,month
2015-11-11,232407,184215,yen,spending,exports,consumer,japan,japanese,percent,pro,alpha,inflation,seeking,months,economy,significant,low,dollar,consumption,forward,look,indeed
2015-11-11,232903,208585,news,reuters,meirelles,finance,business,fiscal,levy,minister,adjustment,minutes,market,delayed,thomson,brasilia,continue,brazil,information,nomiyama,reported,widely
2015-11-11,232993,221386,company,fiscal,enersys,operating,power,emea,products,roughly,share,costs,shares,management,business,revenue,cost,pro,alpha,half,restructuring,currency
2015-11-11,233179,200345,tax,cuts,news,plans,spending,government,candidates,trillion,pay,republican,republicans,budget,revenue,foundation,revenues,according,senator,programs,taxes,economic
2015-11-11,233688,208766,news,fiscal,budget,million,shortfall,reuters,connecticuts,business,revenue,report,minutes,delayed,officials,expected,revenues,malloy,thomson,dannel,information,finance
2015-11-12,233379,212284,economic,site,policy,follow,link,banned,ecb,vs,financial,wed,monetary,risks,km,fiscal,crisis,low,rate,current,report,boris
2015-11-12,233936,201678,million,fiscal,quarter,fourth,propane,prior,lower,compared,expenses,results,gallons,common,integration,unit,call,weather,prices,customer,net,operating
2015-11-12,233945,204847,fiscal,site,credit,follow,link,banned,growth,china,policy,october,spending,percent,banks,government,stimulus,short,revenue,economy,reports,heres
2015-11-12,233975,-1,policy,monetary,david,argues,inflation,lacker,rule,investment,markets,rates,friedman,hilsenrath,merkel,risk,investing,fed,tavlas,blog,standard,write
2015-11-12,233977,-1,spending,budget,purchases,month,youll,book,spend,household,groceries,create,week,money,payment,spent,found,dont,accurate,saving,set,mortgage
2015-11-12,234236,225226,million,quarter,fiscal,business,sales,fiber,laser,highpower,net,fourth,lasers,revenue,expect,market,cost,strong,compared,exchange,impact,rate
2015-11-13,234477,226471,fiscal,chief,executive,officer,business,nick,million,ebitda,capital,cash,howley,chairman,acquisitions,yes,prior,businesses,commercial,sales,versus,thats
2015-11-13,234484,225277,fiscal,quarter,revenue,million,business,financial,call,cash,network,customer,results,product,networks,expect,base,weve,operating,nongaap,time,statements
2015-11-13,234497,186256,quarter,fiscal,million,veryx,compared,fourth,customers,north,america,significant,key,weve,solutions,product,market,expect,products,sales,increase,net
2015-11-13,234973,232407,consumer,spending,growth,economic,alpha,changes,seeking,economy,job,federal,policy,trends,readers,labor,student,recent,cost,pro,benefits,change
2015-11-13,235183,231255,fiscal,eros,films,released,revenue,company,revenues,film,list,movies,source,claims,million,theatrical,overstated,release,believe,investors,estimate,movie
2015-11-16,236862,221601,news,fiscal,support,japan,business,economy,reuters,lew,growth,treasury,domestic,finance,minutes,statement,delayed,secretary,term,thomson,stimulus,meeting
2015-11-16,236910,-1,spending,retail,consumer,company,quarter,consumers,industry,share,nordstrom,sector,debt,nyse,reason,kohls,slowdown,macys,ticket,dont,market,lower
2015-11-16,236934,184108,spending,total,domestic,gdp,market,consumer,revenue,index,pro,alpha,prices,growth,real,seeking,day,ema,beating,measure,week,lower
2015-11-16,237565,230716,million,fiscal,earnings,gas,energy,ebit,adjusted,increase,pipeline,utility,results,business,segment,call,growth,guidance,natural,wgl,related,commercial
2015-11-17,237905,228804,news,rubio,policies,fed,reuters,republican,washington,business,economic,candidate,fiscal,president,minutes,delayed,yellen,chair,marco,thomson,renominate,presidential
2015-11-17,238183,208585,news,jaitley,reuters,fiscal,finance,business,minister,minutes,delayed,target,growth,thomson,prefer,current,information,domestic,reducing,das,worlds,nasdaq
2015-11-17,238504,225277,nike,growth,billion,fiscal,sales,revenue,business,women,company,dtc,grow,training,basis,online,increase,average,europe,digital,comparison,pro
2015-11-17,238509,234497,million,quarter,compared,fiscal,sales,acquisition,ago,sgk,current,september,operating,companys,segment,related,aurora,income,primarily,increase,impact,expense
2015-11-17,238915,205934,fiscal,eu,policy,budget,france,pro,alpha,seeking,eurozone,deficit,gdp,security,thank,pact,spain,stability,portugal,loose,structural,shortly
2015-11-18,239434,225226,quarter,million,fiscal,business,growth,fourth,revenue,optical,prior,cash,macom,defense,call,radar,compared,basis,programs,market,question,flow
2015-11-18,239606,207971,euro,news,dollar,month,policy,ecb,easing,fiscal,tuesday,monetary,yields,overnight,bank,near,attacks,reuters,paris,minutes,expectations,market
2015-11-18,239635,-1,defense,spending,international,military,billion,lockheed,world,example,systems,east,boeing,alpha,global,watch,northrup,nyse,seeking,middle,budget,trend
2015-11-18,239639,232993,million,company,revenue,esnc,fiscal,solar,storage,backlog,sell,call,grid,kw,power,ppa,hawaii,energy,business,significant,installation,pro
2015-11-18,240482,210968,news,security,renzi,attacks,italy,budget,eu,spending,european,paris,rules,million,reuters,euro,france,countries,finance,business,minister,television
2015-11-19,240809,221386,billion,buybacks,spending,companies,dividends,percent,share,capital,spent,rd,income,reuters,time,nyse,shares,hp,net,pro,alpha,compared
2015-11-19,240991,201075,percent,news,fiscal,imf,reuters,inflation,growth,business,bank,gdp,international,fund,minutes,market,delayed,headline,ugandas,rate,forecast,thomson
2015-11-19,241346,231691,million,revenue,fiscal,quarter,rental,seismic,fourth,mean,products,market,compared,yeah,equipment,call,product,obx,expenses,thats,inventory,exploration
2015-11-20,241978,209085,fiscal,stores,store,sales,quarter,growth,million,increased,little,call,fourth,comp,net,price,comparable,continue,bit,average,kemper,look
2015-11-20,242264,241346,quarter,million,fiscal,solar,fourth,technology,market,compared,equipment,little,results,kingstone,bit,btu,tax,september,revenue,primarily,due,lot
2015-11-20,242272,225277,quarter,fiscal,million,volume,expenses,adjusted,metric,sugar,company,due,montreal,approximately,fourth,gross,margin,tonne,consulting,compared,tonnes,plan
2015-11-20,242624,224468,news,crisis,reuters,euros,spending,business,largest,technology,minutes,delayed,billion,capital,thomson,nonproduct,information,finance,worlds,base,nasdaq,alerts
2015-11-20,242887,231727,news,billion,fiscal,deficits,growth,deficit,liberals,economic,reuters,outlook,conservatives,surpluses,government,finance,business,balance,million,worse,adds,downwardly
2015-11-20,243152,242887,news,billion,fiscal,deficits,governments,liberal,update,liberals,reuters,outlook,market,promises,projected,forecast,growth,plans,deficit,conservative,morneau,cut
2015-11-22,243718,213118,qe,inflation,fiscal,fed,policy,rate,global,rates,economic,political,eurozone,central,ecb,economy,european,monetary,bank,currency,process,nations
2015-11-22,243869,224468,news,spending,osborne,britain,budget,percent,jets,defence,carriers,reuters,aircraft,finance,business,worlds,television,scale,international,saying,world,minutes
2015-11-22,243895,221546,cuts,news,osborne,spending,budget,austerity,voters,britains,cut,savings,cameron,minister,plan,reuters,london,services,government,local,police,pace
2015-11-23,244329,236862,news,government,economy,wage,reuters,minimum,stimulus,draft,percent,japans,growth,govt,japan,raise,tax,measures,plans,domestic,average,business
2015-11-23,244332,244329,news,draft,government,reuters,business,minister,economic,wage,abes,raise,improve,minutes,delayed,minimum,measures,plans,thomson,stimulus,energy,information
2015-11-23,244400,234973,spending,consumer,economy,percent,increase,dont,growth,quarter,economic,gdp,wages,pro,alpha,wont,seeking,impact,investors,level,consumers,month
2015-11-23,244918,196455,infrastructure,listed,global,investment,asset,assets,estate,returns,class,real,market,expected,investors,prices,investments,economic,stable,due,sector,fund
2015-11-24,245709,217266,percent,growth,pace,news,spending,rate,reported,quarter,gdp,revised,business,grew,previously,month,trade,domestic,third,economy,reuters,rising
2015-11-24,245857,237565,fiscal,million,slide,earnings,growth,financial,results,energy,nfe,njr,net,customers,performance,jersey,expected,call,midstream,strong,portfolio,customer
2015-11-25,246468,240991,fiscal,quarter,nextshares,funds,fourth,market,fee,fund,managed,rate,investment,billion,thats,bank,income,growth,tax,assets,business,million
2015-11-25,246635,224468,news,reuters,pesos,business,fiscal,million,minutes,delayed,billion,thomson,deficit,information,finance,ministry,worlds,nasdaq,economy,alerts,television,digital
2015-11-25,246638,243895,osborne,news,spending,cuts,government,services,deficit,cut,economic,reuters,surplus,britains,percent,tax,wednesday,plans,bring,decade,public,voters
2015-11-25,246694,244400,consumer,spending,percent,mobile,economy,phone,sales,exports,revised,gdp,demand,season,pro,alpha,growth,seeking,reported,fed,report,downwardly
2015-11-25,246859,216282,news,reuters,percent,budget,business,fiscal,gap,hit,minutes,delayed,narrow,thomson,information,domestic,finance,parliament,worlds,nasdaq,auyezov,alerts
2015-11-25,246860,246638,osborne,news,spending,cuts,surplus,britains,government,voters,budget,economic,meet,reuters,push,target,tax,services,wednesday,expected,deep,finance
2015-11-25,246862,246635,news,finance,fiscal,discipline,reuters,business,minutes,delayed,thomson,information,parliament,worlds,nasdaq,minister,alerts,television,economic,digital,video,international
2015-11-25,246992,217266,percent,news,spending,month,business,aircraft,september,reported,reuters,manufacturing,dollar,cuts,capital,energy,shipments,october,previously,minutes,surged,equipment
2015-11-25,246993,245709,percent,spending,consumer,news,september,savings,reuters,rising,quarter,economy,month,rose,third,business,economic,october,income,largest,level,minutes
2015-11-25,247261,246993,percent,spending,news,consumer,october,business,report,month,department,september,economy,rising,commerce,dollar,growth,energy,rose,savings,quarter,labor
2015-11-25,247448,244400,spending,income,revisions,economic,rate,savings,personal,growth,benchmark,economy,pce,nominal,estimates,actual,consumers,figures,economists,month,recovery,pro
2015-11-26,248368,219234,news,billion,budget,deficit,fiscal,ontario,canadas,hydro,reuters,forecast,current,business,revenue,april,initial,minutes,net,delayed,expects,helped
2015-11-26,248370,246635,news,deficit,budget,fiscal,reuters,billion,business,ontario,minutes,delayed,expects,government,thomson,information,finance,worlds,nasdaq,alerts,television,lowers
2015-11-27,248795,232903,government,news,million,foreign,business,reuters,network,sale,sell,selling,asset,reported,finance,minister,decision,earlier,value,australian,intranet,minutes
2015-11-27,248802,232335,budget,fiscal,news,extra,reuters,abe,economy,economic,japans,payouts,minister,lowincome,spending,cabinet,government,yen,steps,told,additional,japan
2015-11-27,248978,222658,news,percent,saudi,money,data,october,growth,supply,bank,economy,reuters,lending,government,budget,finance,cutbacks,spending,banks,business,released
2015-11-28,249589,243718,qe,policy,eurozone,fiscal,spending,economic,report,european,fed,global,monetary,economy,deficit,public,bank,osborne,rates,inflation,political,president
2015-11-29,250156,-1,infrastructure,news,campaign,clinton,clintons,billion,boston,plan,jobs,reuters,spending,hard,workers,hillary,presidential,candidate,democratic,november,investing,voters
2015-11-30,251069,229329,fsfr,net,quarter,fiscal,fsfrs,companys,nav,table,million,fourth,stock,reference,investment,am,investments,share,company,common,projecting,prior
2015-11-30,251258,221546,news,fiscal,reuters,congress,government,savings,business,brazils,week,law,minutes,bill,delayed,pay,oliveira,monday,target,ministries,bills,rent
2015-12-01,252110,219483,spending,housing,north,consumer,dakota,rise,utilities,care,economy,recent,biggest,health,prices,investment,layoffs,real,economics,comments,news,grew
2015-12-01,252138,246992,spending,percent,construction,news,manufacturing,dollar,november,government,outlays,business,october,level,energy,rose,economy,reuters,sector,month,index,cuts
2015-12-01,252140,252138,spending,construction,percent,news,outlays,october,reuters,level,government,rose,manufacturing,private,business,near,economy,largest,minutes,federal,delayed,rising
2015-12-01,252390,252110,spending,investment,business,economy,equipment,decline,businesses,prices,tax,time,real,economics,comments,labor,tractors,news,economic,similar,commodity,caused
2015-12-01,252410,252138,percent,news,spending,construction,manufacturing,economy,business,october,month,dollar,november,rates,sales,reported,fed,factory,reuters,economist,robust,private
2015-12-02,253599,225226,million,quarter,fiscal,fourth,projects,cost,compared,business,weve,call,revenues,little,bookings,canada,tax,half,backlog,time,income,production
2015-12-02,253801,218289,news,fiscal,government,congress,spending,primary,deficit,rousseff,delayed,percent,billion,reais,savings,reuters,law,pay,surplus,recession,debt,brazil
2015-12-02,253815,-1,news,infrastructure,airport,sources,london,city,bidders,billion,cki,times,pounds,pension,li,reuters,sale,ebitda,expected,comment,multiple,business
